meta_data1,meta_data2
"00187-trunc-0.60-c_fancy_age_30-27,0-0,6.png",33
"00187-trunc-0.60-c_fancy_age_30-27,1-0,6.png",30
"00187-trunc-0.60-c_fancy_age_30-27,3-0,6.png",26
"00187-trunc-0.60-c_fancy_age_30-28,1-0,6.png",27
"00187-trunc-0.60-c_fancy_age_30-28,4-0,6.png",31
"00187-trunc-0.60-c_fancy_age_30-29,0-0,6.png",23
"00187-trunc-0.60-c_fancy_age_30-29,2-0,6.png",26
"00187-trunc-0.60-c_fancy_age_30-29,7-0,6.png",30
"00187-trunc-0.60-c_fancy_age_30-30,1-0,6.png",33
"00187-trunc-0.60-c_fancy_age_30-30,5-0,6.png",28
"00187-trunc-0.60-c_fancy_age_30-31,3-0,6.png",36
"00187-trunc-0.60-c_fancy_age_30-32,1-0,6.png",29
"00187-trunc-0.60-c_fancy_age_30-32,7-0,6.png",30
"00187-trunc-0.60-c_fancy_age_35-26,1-0,6.png",26
"00187-trunc-0.60-c_fancy_age_35-26,5-0,6.png",24
"00187-trunc-0.60-c_fancy_age_35-28,1-0,6.png",31
"00187-trunc-0.60-c_fancy_age_35-30,6-0,6.png",37
"00187-trunc-0.60-c_fancy_age_35-30,8-0,6.png",33
"00187-trunc-0.60-c_fancy_age_35-31,0-0,6.png",31
"00187-trunc-0.60-c_fancy_age_35-31,2-0,6.png",34
"00187-trunc-0.60-c_fancy_age_35-31,5-0,6.png",30
"00187-trunc-0.60-c_fancy_age_35-31,7-0,6.png",40
"00187-trunc-0.60-c_fancy_age_35-33,4-0,6.png",33
"00187-trunc-0.60-c_fancy_age_35-33,5-0,6.png",36
"00187-trunc-0.60-c_fancy_age_35-35,1-0,6.png",34
"00187-trunc-0.60-c_fancy_age_35-35,4-0,6.png",39
"00187-trunc-0.60-c_fancy_age_35-36,2-0,6.png",43
"00187-trunc-0.60-c_fancy_age_35-37,0-0,6.png",37
"00187-trunc-0.60-c_fancy_age_35-37,2-0,6.png",35
"00187-trunc-0.60-c_fancy_age_35-39,7-0,6.png",40
"00187-trunc-0.60-c_fancy_age_35-41,1-0,6.png",43
"00187-trunc-0.60-c_fancy_age_40-31,7-0,6.png",43
"00187-trunc-0.60-c_fancy_age_40-31,8-0,6.png",39
"00187-trunc-0.60-c_fancy_age_40-32,5-0,6.png",34
"00187-trunc-0.60-c_fancy_age_40-33,2-0,6.png",40
"00187-trunc-0.60-c_fancy_age_40-36,9-0,6.png",44
"00187-trunc-0.60-c_fancy_age_40-37,4-0,6.png",37
"00187-trunc-0.60-c_fancy_age_40-37,9-0,6.png",40
"00187-trunc-0.60-c_fancy_age_40-38,4-0,6.png",40
"00187-trunc-0.60-c_fancy_age_40-38,8-0,6.png",41
"00187-trunc-0.60-c_fancy_age_40-39,6-0,6.png",37
"00187-trunc-0.60-c_fancy_age_40-40,4-0,6.png",44
"00187-trunc-0.60-c_fancy_age_40-40,9-0,6.png",36
"00187-trunc-0.60-c_fancy_age_40-41,4-0,6.png",42
"00187-trunc-0.60-c_fancy_age_40-41,7-0,6.png",41
"00187-trunc-0.60-c_fancy_age_40-42,3-0,6.png",43
"00187-trunc-0.60-c_fancy_age_40-43,6-0,6.png",39
"00187-trunc-0.60-c_fancy_age_40-44,0-0,6.png",43
"00187-trunc-0.60-c_fancy_age_40-45,0-0,6.png",46
"00187-trunc-0.60-c_fancy_age_40-46,5-0,6.png",42
"00187-trunc-0.60-c_fancy_age_45-33,6-0,6.png",35
"00187-trunc-0.60-c_fancy_age_45-35,9-0,6.png",35
"00187-trunc-0.60-c_fancy_age_45-36,0-0,6.png",37
"00187-trunc-0.60-c_fancy_age_45-39,3-0,6.png",44
"00187-trunc-0.60-c_fancy_age_45-39,6-0,6.png",41
"00187-trunc-0.60-c_fancy_age_45-40,8-0,6.png",35
"00187-trunc-0.60-c_fancy_age_45-42,3-0,6.png",49
"00187-trunc-0.60-c_fancy_age_45-42,9-0,6.png",42
"00187-trunc-0.60-c_fancy_age_45-43,1-0,6.png",44
"00187-trunc-0.60-c_fancy_age_45-43,2-0,6.png",42
"00187-trunc-0.60-c_fancy_age_45-43,4-0,6.png",43
"00187-trunc-0.60-c_fancy_age_45-45,1-0,6.png",43
"00187-trunc-0.60-c_fancy_age_45-47,1-0,6.png",48
"00187-trunc-0.60-c_fancy_age_45-47,3-0,6.png",49
"00187-trunc-0.60-c_fancy_age_45-47,4-0,6.png",50
"00187-trunc-0.60-c_fancy_age_45-49,4-0,6.png",54
"00187-trunc-0.60-c_fancy_age_45-50,4-0,6.png",53
"00187-trunc-0.60-c_fancy_age_45-50,6-0,6.png",52
"00187-trunc-0.60-c_fancy_age_45-50,8-0,6.png",48
"00187-trunc-0.60-c_fancy_age_5-1,8-0,6.png",0
"00187-trunc-0.60-c_fancy_age_5-15,6-0,6.png",14
"00187-trunc-0.60-c_fancy_age_5-2,0-0,6.png",2
"00187-trunc-0.60-c_fancy_age_5-2,2-0,6.png",1
"00187-trunc-0.60-c_fancy_age_5-2,9-0,6.png",2
"00187-trunc-0.60-c_fancy_age_5-3,1-0,6.png",2
"00187-trunc-0.60-c_fancy_age_5-3,8-0,6.png",4
"00187-trunc-0.60-c_fancy_age_5-3,9-0,6.png",2
"00187-trunc-0.60-c_fancy_age_5-4,3-0,6.png",5
"00187-trunc-0.60-c_fancy_age_5-4,4-0,6.png",3
"00187-trunc-0.60-c_fancy_age_5-4,6-0,6.png",3
"00187-trunc-0.60-c_fancy_age_5-4,7-0,6.png",4
"00187-trunc-0.60-c_fancy_age_5-5,0-0,6.png",4
"00187-trunc-0.60-c_fancy_age_5-5,2-0,6.png",3
"00187-trunc-0.60-c_fancy_age_5-5,5-0,6.png",8
"00187-trunc-0.60-c_fancy_age_5-5,8-0,6.png",5
"00187-trunc-0.60-c_fancy_age_5-9,2-0,6.png",9
"00187-trunc-0.60-c_fancy_age_50-46,8-0,6.png",46
"00187-trunc-0.60-c_fancy_age_50-48,5-0,6.png",49
"00187-trunc-0.60-c_fancy_age_50-48,7-0,6.png",48
"00187-trunc-0.60-c_fancy_age_50-48,8-0,6.png",48
"00187-trunc-0.60-c_fancy_age_50-49,5-0,6.png",55
"00187-trunc-0.60-c_fancy_age_50-49,7-0,6.png",45
"00187-trunc-0.60-c_fancy_age_50-50,5-0,6.png",50
"00187-trunc-0.60-c_fancy_age_50-51,3-0,6.png",50
"00187-trunc-0.60-c_fancy_age_50-51,4-0,6.png",46
"00187-trunc-0.60-c_fancy_age_50-52,8-0,6.png",51
"00187-trunc-0.60-c_fancy_age_50-53,2-0,6.png",50
"00187-trunc-0.60-c_fancy_age_50-54,0-0,6.png",52
"00187-trunc-0.60-c_fancy_age_50-54,7-0,6.png",51
"00187-trunc-0.60-c_fancy_age_50-55,6-0,6.png",55
"00187-trunc-0.60-c_fancy_age_50-55,7-0,6.png",58
"00187-trunc-0.60-c_fancy_age_50-56,1-0,6.png",53
"00187-trunc-0.60-c_fancy_age_50-57,8-0,6.png",56
"00187-trunc-0.60-c_fancy_age_50-59,1-0,6.png",64
"00187-trunc-0.60-c_fancy_age_55-48,0-0,6.png",45
"00187-trunc-0.60-c_fancy_age_55-51,0-0,6.png",50
"00187-trunc-0.60-c_fancy_age_55-51,3-0,6.png",53
"00187-trunc-0.60-c_fancy_age_55-53,1-0,6.png",51
"00187-trunc-0.60-c_fancy_age_55-53,3-0,6.png",54
"00187-trunc-0.60-c_fancy_age_55-53,4-0,6.png",53
"00187-trunc-0.60-c_fancy_age_55-53,5-0,6.png",52
"00187-trunc-0.60-c_fancy_age_55-54,4-0,6.png",58
"00187-trunc-0.60-c_fancy_age_55-55,1-0,6.png",55
"00187-trunc-0.60-c_fancy_age_55-55,3-0,6.png",52
"00187-trunc-0.60-c_fancy_age_55-56,3-0,6.png",58
"00187-trunc-0.60-c_fancy_age_55-56,4-0,6.png",55
"00187-trunc-0.60-c_fancy_age_55-56,6-0,6.png",53
"00187-trunc-0.60-c_fancy_age_55-57,9-0,6.png",59
"00187-trunc-0.60-c_fancy_age_55-58,0-0,6.png",62
"00187-trunc-0.60-c_fancy_age_55-59,0-0,6.png",59
"00187-trunc-0.60-c_fancy_age_55-59,3-0,6.png",54
"00187-trunc-0.60-c_fancy_age_55-59,8-0,6.png",59
"00187-trunc-0.60-c_fancy_age_60-54,2-0,6.png",53
"00187-trunc-0.60-c_fancy_age_60-54,5-0,6.png",57
"00187-trunc-0.60-c_fancy_age_60-55,0-0,6.png",49
"00187-trunc-0.60-c_fancy_age_60-56,5-0,6.png",63
"00187-trunc-0.60-c_fancy_age_60-56,8-0,6.png",61
"00187-trunc-0.60-c_fancy_age_60-57,4-0,6.png",53
"00187-trunc-0.60-c_fancy_age_60-57,5-0,6.png",63
"00187-trunc-0.60-c_fancy_age_60-59,5-0,6.png",59
"00187-trunc-0.60-c_fancy_age_60-59,8-0,6.png",60
"00187-trunc-0.60-c_fancy_age_60-60,6-0,6.png",58
"00187-trunc-0.60-c_fancy_age_60-61,1-0,6.png",66
"00187-trunc-0.60-c_fancy_age_60-61,5-0,6.png",65
"00187-trunc-0.60-c_fancy_age_60-62,1-0,6.png",66
"00187-trunc-0.60-c_fancy_age_60-63,9-0,6.png",70
"00187-trunc-0.60-c_fancy_age_60-64,1-0,6.png",65
"00187-trunc-0.60-c_fancy_age_60-64,7-0,6.png",62
"00187-trunc-0.60-c_fancy_age_60-67,3-0,6.png",63
"00187-trunc-0.60-c_fancy_age_60-75,9-0,6.png",77
"00187-trunc-0.60-c_fancy_age_65-56,2-0,6.png",56
"00187-trunc-0.60-c_fancy_age_65-56,4-0,6.png",59
"00187-trunc-0.60-c_fancy_age_65-56,6-0,6.png",66
"00187-trunc-0.60-c_fancy_age_65-56,9-0,6.png",59
"00187-trunc-0.60-c_fancy_age_65-57,4-0,6.png",57
"00187-trunc-0.60-c_fancy_age_65-58,4-0,6.png",65
"00187-trunc-0.60-c_fancy_age_65-61,9-0,6.png",67
"00187-trunc-0.60-c_fancy_age_65-63,7-0,6.png",65
"00187-trunc-0.60-c_fancy_age_65-65,1-0,6.png",61
"00187-trunc-0.60-c_fancy_age_65-65,2-0,6.png",70
"00187-trunc-0.60-c_fancy_age_65-65,8-0,6.png",63
"00187-trunc-0.60-c_fancy_age_65-65,9-0,6.png",67
"00187-trunc-0.60-c_fancy_age_65-67,0-0,6.png",65
"00187-trunc-0.60-c_fancy_age_65-67,2-0,6.png",62
"00187-trunc-0.60-c_fancy_age_65-68,5-0,6.png",65
"00187-trunc-0.60-c_fancy_age_65-69,1-0,6.png",73
"00187-trunc-0.60-c_fancy_age_65-70,8-0,6.png",70
"00187-trunc-0.60-c_fancy_age_65-71,5-0,6.png",68
"00187-trunc-0.60-c_fancy_age_70-58,1-0,6.png",59
"00187-trunc-0.60-c_fancy_age_70-58,9-0,6.png",65
"00187-trunc-0.60-c_fancy_age_70-61,9-0,6.png",57
"00187-trunc-0.60-c_fancy_age_70-63,9-0,6.png",65
"00187-trunc-0.60-c_fancy_age_70-64,7-0,6.png",72
"00187-trunc-0.60-c_fancy_age_70-65,3-0,6.png",73
"00187-trunc-0.60-c_fancy_age_70-65,7-0,6.png",64
"00187-trunc-0.60-c_fancy_age_70-65,8-0,6.png",71
"00187-trunc-0.60-c_fancy_age_70-66,1-0,6.png",69
"00187-trunc-0.60-c_fancy_age_70-66,2-0,6.png",65
"00187-trunc-0.60-c_fancy_age_70-66,9-0,6.png",75
"00187-trunc-0.60-c_fancy_age_70-67,7-0,6.png",69
"00187-trunc-0.60-c_fancy_age_70-67,9-0,6.png",74
"00187-trunc-0.60-c_fancy_age_70-68,1-0,6.png",74
"00187-trunc-0.60-c_fancy_age_70-68,4-0,6.png",70
"00187-trunc-0.60-c_fancy_age_70-71,2-0,6.png",73
"00187-trunc-0.60-c_fancy_age_70-73,8-0,6.png",69
"00187-trunc-0.60-c_fancy_age_70-74,4-0,6.png",71
"00187-trunc-0.60-c_fancy_age_75-64,4-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-65,9-0,6.png",80
"00187-trunc-0.60-c_fancy_age_75-67,2-0,6.png",73
"00187-trunc-0.60-c_fancy_age_75-67,6-0,6.png",80
"00187-trunc-0.60-c_fancy_age_75-68,5-0,6.png",77
"00187-trunc-0.60-c_fancy_age_75-69,2-0,6.png",69
"00187-trunc-0.60-c_fancy_age_75-69,3-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-70,3-0,6.png",81
"00187-trunc-0.60-c_fancy_age_75-71,0-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-71,1-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-71,4-0,6.png",67
"00187-trunc-0.60-c_fancy_age_75-71,6-0,6.png",69
"00187-trunc-0.60-c_fancy_age_75-72,2-0,6.png",71
"00187-trunc-0.60-c_fancy_age_75-73,2-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-73,4-0,6.png",79
"00187-trunc-0.60-c_fancy_age_75-73,8-0,6.png",76
"00187-trunc-0.60-c_fancy_age_75-75,0-0,6.png",72
"00187-trunc-0.60-c_fancy_age_75-76,2-0,6.png",77
"00187-trunc-0.60-c_fancy_age_75-76,5-0,6.png",77
"00187-trunc-0.60-c_no_angles_0,12--0,9-0,6-620,0999755859375.png",5
"00187-trunc-0.60-c_no_angles_0,21--1,0-0,6-601,4000244140625.png",0
"00187-trunc-0.60-c_no_angles_0,22--1,0-0,6-705,2000122070312.png",1
"00187-trunc-0.60-c_no_angles_0,33--0,9-0,6-571,0999755859375.png",2
"00187-trunc-0.60-c_no_angles_0,6--0,9-0,6-759,0999755859375.png",5
"00187-trunc-0.60-c_no_angles_1,05--0,9-0,6-667,7999877929688.png",2
"00187-trunc-0.60-c_no_angles_1,3--0,9-0,6-499,1000061035156.png",4
"00187-trunc-0.60-c_no_angles_1,34--0,9-0,6-660,2999877929688.png",2
"00187-trunc-0.60-c_no_angles_1,37--0,9-0,6-761,0999755859375.png",4
"00187-trunc-0.60-c_no_angles_1,43--0,9-0,6-483,70001220703125.png",3
"00187-trunc-0.60-c_no_angles_1,52--0,9-0,6-711,7000122070312.png",3
"00187-trunc-0.60-c_no_angles_1,59--0,8-0,6-706,2000122070312.png",5
"00187-trunc-0.60-c_no_angles_1,68--0,9-0,6-561,5999755859375.png",4
"00187-trunc-0.60-c_no_angles_1,84--0,8-0,6-656,7999877929688.png",5
"00187-trunc-0.60-c_no_angles_1,88--0,9-0,6-691,5.png",2
"00187-trunc-0.60-c_no_angles_1,9--0,9-0,6-847,5999755859375.png",3
"00187-trunc-0.60-c_no_angles_1,98--0,9-0,6-811,2000122070312.png",3
"00187-trunc-0.60-c_no_angles_10,44--0,8-0,6-670,7999877929688.png",5
"00187-trunc-0.60-c_no_angles_10,49--0,8-0,6-624,7000122070312.png",11
"00187-trunc-0.60-c_no_angles_10,63--0,9-0,6-765,2999877929688.png",6
"00187-trunc-0.60-c_no_angles_10,98--0,8-0,6-806,0.png",8
"00187-trunc-0.60-c_no_angles_11,07--0,7-0,6-868,0999755859375.png",10
"00187-trunc-0.60-c_no_angles_11,35--0,6-0,6-794,0999755859375.png",13
"00187-trunc-0.60-c_no_angles_11,55--0,9-0,6-687,7000122070312.png",6
"00187-trunc-0.60-c_no_angles_11,68--0,8-0,6-816,5.png",6
"00187-trunc-0.60-c_no_angles_11,87--0,8-0,6-649,0.png",9
"00187-trunc-0.60-c_no_angles_11,96--0,9-0,6-642,2999877929688.png",6
"00187-trunc-0.60-c_no_angles_12,13--0,7-0,6-752,5.png",11
"00187-trunc-0.60-c_no_angles_12,68--0,7-0,6-644,7999877929688.png",10
"00187-trunc-0.60-c_no_angles_12,73--0,7-0,6-679,0.png",17
"00187-trunc-0.60-c_no_angles_13,25--0,9-0,6-794,0.png",5
"00187-trunc-0.60-c_no_angles_13,54--0,7-0,6-550,0999755859375.png",16
"00187-trunc-0.60-c_no_angles_13,56--0,8-0,6-863,5999755859375.png",6
"00187-trunc-0.60-c_no_angles_13,78--0,8-0,6-655,7999877929688.png",7
"00187-trunc-0.60-c_no_angles_14,1--0,4-0,6-743,2000122070312.png",14
"00187-trunc-0.60-c_no_angles_14,3--0,7-0,6-618,9000244140625.png",11
"00187-trunc-0.60-c_no_angles_15,01--0,7-0,6-734,2999877929688.png",11
"00187-trunc-0.60-c_no_angles_15,24--0,8-0,6-443,0.png",7
"00187-trunc-0.60-c_no_angles_15,3--0,7-0,6-619,9000244140625.png",11
"00187-trunc-0.60-c_no_angles_15,34--0,9-0,6-945,0999755859375.png",5
"00187-trunc-0.60-c_no_angles_15,38--0,4-0,6-595,2999877929688.png",17
"00187-trunc-0.60-c_no_angles_15,43--0,4-0,6-706,0.png",18
"00187-trunc-0.60-c_no_angles_15,57--0,4-0,6-416,6000061035156.png",23
"00187-trunc-0.60-c_no_angles_15,76--0,6-0,6-621,0999755859375.png",16
"00187-trunc-0.60-c_no_angles_15,8--0,8-0,6-685,9000244140625.png",7
"00187-trunc-0.60-c_no_angles_15,99--0,8-0,6-791,0999755859375.png",7
"00187-trunc-0.60-c_no_angles_16,02--0,7-0,6-714,0999755859375.png",11
"00187-trunc-0.60-c_no_angles_16,24--0,8-0,6-997,4000244140625.png",5
"00187-trunc-0.60-c_no_angles_16,28--0,6-0,6-700,4000244140625.png",14
"00187-trunc-0.60-c_no_angles_16,39--0,6-0,6-1002,5999755859375.png",16
"00187-trunc-0.60-c_no_angles_16,68--0,5-0,6-867,7999877929688.png",15
"00187-trunc-0.60-c_no_angles_16,69--0,8-0,6-611,7999877929688.png",9
"00187-trunc-0.60-c_no_angles_16,79--0,8-0,6-655,2000122070312.png",7
"00187-trunc-0.60-c_no_angles_16,81--0,8-0,6-870,0999755859375.png",9
"00187-trunc-0.60-c_no_angles_17,01--0,3-0,6-604,0.png",28
"00187-trunc-0.60-c_no_angles_17,34--0,6-0,6-745,0.png",9
"00187-trunc-0.60-c_no_angles_17,81--0,4-0,6-840,5.png",20
"00187-trunc-0.60-c_no_angles_17,81--0,5-0,6-673,2999877929688.png",15
"00187-trunc-0.60-c_no_angles_18,3--0,4-0,6-775,4000244140625.png",18
"00187-trunc-0.60-c_no_angles_18,7--0,5-0,6-816,5999755859375.png",21
"00187-trunc-0.60-c_no_angles_19,44--0,5-0,6-879,9000244140625.png",14
"00187-trunc-0.60-c_no_angles_19,47--0,4-0,6-649,5999755859375.png",20
"00187-trunc-0.60-c_no_angles_19,78--0,3-0,6-793,2999877929688.png",24
"00187-trunc-0.60-c_no_angles_19,83--0,5-0,6-644,2999877929688.png",20
"00187-trunc-0.60-c_no_angles_2,23--0,9-0,6-791,4000244140625.png",3
"00187-trunc-0.60-c_no_angles_2,49--0,9-0,6-705,4000244140625.png",3
"00187-trunc-0.60-c_no_angles_2,69--0,9-0,6-613,0.png",4
"00187-trunc-0.60-c_no_angles_2,71--0,9-0,6-853,0.png",2
"00187-trunc-0.60-c_no_angles_20,05--0,4-0,6-758,0999755859375.png",24
"00187-trunc-0.60-c_no_angles_21,14--0,4-0,6-561,7999877929688.png",18
